episodes,Proposed with Reduction,Proposed No-Reduction,Contention-free,Contention-based,Semi-static,Round-robin,Heuristics
45,-0.2854165181517601,-0.28880100697278976,0.0,0.0,0.0,0.0,0.0
46,-0.28757896572351455,-0.292170786857605,0.0,0.0,0.0,0.0,0.0
47,-0.2877087637782097,-0.26180866062641145,0.0,0.0,0.0,0.0,0.0
48,-0.2878385618329048,-0.2314465343952179,0.0,0.0,0.0,0.0,0.0
49,-0.2895338237285614,-0.2336322247982025,0.0,0.0,0.0,0.0,0.0
50,-0.291229085624218,-0.23581791520118714,0.0,0.0,0.0,0.0,0.0
51,-0.2946512117981911,-0.23893301784992219,0.0,0.0,0.0,0.0,0.0
52,-0.2980733379721642,-0.24204812049865723,0.0,0.0,0.0,0.0,0.0
53,-0.2988207772374153,-0.24334795027971268,0.0,0.0,0.0,0.0,0.0
54,-0.29956821650266646,-0.24464778006076812,0.0,0.0,0.0,0.0,0.0
55,-0.2991950765252113,-0.24594614058732986,0.0,0.0,0.0,0.0,0.0
56,-0.2988219365477562,-0.2472445011138916,0.0,0.0,0.0,0.0,0.0
57,-0.30480278059840205,-0.2490205153822899,0.0,0.0,0.0,0.0,0.0
58,-0.31078362464904785,-0.25079652965068816,0.0,0.0,0.0,0.0,0.0
59,-0.3097341626882553,-0.2500616073608398,0.0,0.0,0.0,0.0,0.0
60,-0.3086847007274628,-0.2493266850709915,0.0,0.0,0.0,0.0,0.0
61,-0.31005774438381195,-0.2522197961807251,0.0,0.0,0.0,0.0,0.0
62,-0.3114307880401611,-0.25511290729045866,0.0,0.0,0.0,0.0,0.0
63,-0.3116680234670639,-0.2556384697556496,0.0,0.0,0.0,0.0,0.0
64,-0.3119052588939667,-0.25616403222084044,0.0,0.0,0.0,0.0,0.0
65,-0.3116952687501907,-0.2536063462495804,0.0,0.0,0.0,0.0,0.0
66,-0.3114852786064148,-0.2510486602783203,0.0,0.0,0.0,0.0,0.0
67,-0.310564911365509,-0.27965405583381653,0.0,0.0,0.0,0.0,0.0
68,-0.3096445441246033,-0.30825945138931277,0.0,0.0,0.0,0.0,0.0
69,-0.309536337852478,-0.30744965076446534,0.0,0.0,0.0,0.0,0.0
70,-0.30942813158035276,-0.3066398501396179,0.0,0.0,0.0,0.0,0.0
71,-0.3080319195985794,-0.30615167915821073,0.0,0.0,0.0,0.0,0.0
72,-0.30663570761680603,-0.3056635081768036,0.0,0.0,0.0,0.0,0.0
73,-0.306596165895462,-0.3042503923177719,0.0,0.0,0.0,0.0,0.0
74,-0.30655662417411805,-0.30283727645874026,0.0,0.0,0.0,0.0,0.0
75,-0.3064361348748207,-0.3012150049209595,0.0,0.0,0.0,0.0,0.0
76,-0.3063156455755234,-0.2995927333831787,0.0,0.0,0.0,0.0,0.0
77,-0.30194772109389306,-0.30001549869775773,0.0,0.0,0.0,0.0,0.0
78,-0.29757979661226275,-0.30043826401233675,0.0,0.0,0.0,0.0,0.0
79,-0.29759821742773057,-0.30176495015621185,0.0,0.0,0.0,0.0,0.0
80,-0.2976166382431984,-0.30309163630008695,0.0,0.0,0.0,0.0,0.0
81,-0.2969506025314331,-0.30260780155658723,0.0,0.0,0.0,0.0,0.0
82,-0.2962845668196678,-0.30212396681308745,0.0,0.0,0.0,0.0,0.0
83,-0.2943794414401054,-0.3036623552441597,0.0,0.0,0.0,0.0,0.0
